state,income_bracket,distress_pct
Virginia,$50k-$75k,18.9
Virginia,$75k-$100k,18.9
Virginia,$100k-$150k,11.3
Virginia,$150k+,7.0
Washington,<$25k,29.49
Washington,$25k-$50k,21.09
Washington,$50k-$75k,14.6
Washington,$75k-$100k,14.6
Washington,$100k-$150k,12.1
Washington,$150k+,10.2
West Virginia,<$25k,35.45
West Virginia,$25k-$50k,24.49
West Virginia,$50k-$75k,14.1
West Virginia,$75k-$100k,14.1
West Virginia,$100k-$150k,13.3
Wisconsin,<$25k,26.74
Wisconsin,$25k-$50k,21.57
Wisconsin,$50k-$75k,13.9
Wisconsin,$75k-$100k,13.9
Wisconsin,$100k-$150k,9.4
Wisconsin,$150k+,7.1
Wyoming,<$25k,30.67
Wyoming,$25k-$50k,16.31
Wyoming,$50k-$75k,11.6
Wyoming,$75k-$100k,11.6
Wyoming,$100k-$150k,9.8
